1,ebook complete shakespeare works gutenberg project william
2,shakespeare william
3,anyone anywhere ebook cost use
4,restrictions whatsoever copy almost give
5,included license terms under re gutenberg project use
6,online www org ebook gutenberg
7,details copyrighted ebook below gutenberg project
8,guidelines file copyright follow please
9,title complete shakespeare works william
10,author shakespeare william
11,2011 september 100 posting ebook date 1
12,1994 january release date
13,language english
14,ebook start complete shakespeare works gutenberg project william
15,produced future inc library world
16,100th presented file etext gutenberg project
17,cooperation presented inc library world
18,cdroms future library shakespeare gutenberg project
19,releases etexts placed domain public often
20,shakespeare
21,implications certain read etext copyright
22,version complete works william electronic
23,1993 1990 inc library copyright shakespeare world
24,benedictine illinois college etext provided gutenberg project
25,machine readable permission copies electronic
26,1 others distributed copies
27,personal used 2 distributed use
28,prohibited commercially commercial includes distribution
29,membership download charges service
30,cooperate proud library gutenberg project world
31,presentation complete shakespeare works william
32,education however reading entertainment
33,shareware domain public neither library under nor
34,presentation future conditions charges
35,encouraged material access
36,allowed anyone charges give
37,print small complete shakespeare
38,version complete works william electronic
39,1993 1990 inc library copyright shakespeare world
40,etext provided gutenberg project
41,benedictine illinois college permission
42,etexts unlike tm etext gutenberg project since many
43,materials methods protected copyright since
44,copy reputation effect project right use
45,distribute limited laws copyright
46,statement print conditions small
47,license 1
48,encouraged distribute electronic
49,machine readable etext copies
50,personal 2 1 others use
51,prohibited commercially commercial used distributed
52,download includes distribution charges service
53,membership
54,b license conditions honor subject
55,provisions replacement refund print small
56,statement exact distribute etext copies
57,statement including print small copies
58,resulting proprietary compressed including form
59,software processing hypertext word
60,either
61,displayed clearly readable etext does 1
62,characters intended contain those
63,tilde asterisk author although work
64,_#null underline punctuation characters convey used
65,additional characters author intended used
66,indicate hypertext links
67,convertible readily reader etext 2
68,equivalent ebcdic ascii expense form plain
69,displays program instance case etext
70,processors word
71,agree provide 3 request
72,additional expense copy fee cost plain etext
73,ascii
74,disclaimer warranty damages limited 2
75,incomplete defect contain form etext
76,data inaccurate transcription errors corrupt copyright
77,damaged disk virus infringement computer defective
78,codes equipment damage read cannot
79,described replacement refund below right
80,party receive etext project
81,disclaims liability tm etext gutenberg project
82,legal expenses costs damages fees including
83,liability remedies negligence strict under
84,warranty limited including contract breach
85,consequential punitive incidental damages indirect even
86,possibility damages notice give
87,90 defect discover receiv days etext within
88,ing refund paid receive money
89,explanatory sending note within
90,physical received person
91,medium note person return
92,alternatively replacement copy choose give
93,electronically received choose person
94,alternatively opportunity receive second give
95,electronically
96,otherwise etext provided
97,implied warranties express kind
98,medium including etext
99,merchantability warranties fitness limited
100,disclaimers states allow particular purpose
101,consequen exclusion implied warranties limitation
102,tial exclusions disclaimers damages above
103,legal apply rights
104,indemnity indemnify 3 project hold
105,lia directors agents members harmless officers
106,bility legal fees including expense arise cost
107,indirectly directly following
108,alteration b distribution etext cause
109,modification defect c addition etext
110,4 don want money send even
111,dedicated increasing number gutenberg project
112,licensed domain freely public works distributed
113,gratefully accepts form machine readable project
114,scanning ocr machines software contributions money
115,licenses etexts domain royalty public free copyright
116,pro whatever paid money else
117,ject association benedictine illinois college gutenberg
118,kramer attorney b print small charles
119,212 tel 5093 compuserve 2026 254 72600 internet com
120, print small complete shakespeare
121,08 12 93 print v small
122,version complete works william electronic
123,1993 1990 inc library copyright shakespeare world
124,benedictine illinois college etext provided gutenberg project
125,machine readable permission copies electronic
126,1 others distributed copies
127,personal used 2 distributed use
128,prohibited commercially commercial includes distribution
129,membership download charges service
130,1609
131,sonnets
132,shakespeare william
133,1
134,increase creatures fairest desire
135,thereby rose beauty die might
136,riper decease
137,memory heir tender might bear
138,contracted bright thine eyes
139,fuel substantial flame feed self light st
140,famine abundance making lies
141,foe cruel self sweet
142,ornament fresh world art
143,gaudy herald spring
144,buriest bud content thine within
145,niggarding churl mak waste tender st
146,glutton pity else world
147,due eat grave world thee
148,2
149,winters besiege forty brow
150,trenches dig deep field beauty
151,gazed livery proud youth
152,tattered weed held small worth
153,asked beauty lies being
154,lusty treasure days
155,sunken deep thine within eyes
156,thriftless eating praise shame
157,deserved praise beauty use
158,couldst child answer fair mine
159,sum excuse count
160,proving succession beauty thine
161,new art
162,warm feel cold blood st
163,3
164,viewest glass face look tell
165,form face another
166,renewest repair fresh whose
167,unbless beguile dost mother world
168,uneared womb whose fair
169,tillage disdains husbandry
170,tomb fond
171,posterity stop self love
172,glass mother art thee
173,prime april lovely calls back
174,windows age through shalt thine
175,wrinkles despite golden
176,remembered live
177,image single dies thine die thee
178,4
179,loveliness unthrifty spend dost why
180,legacy self beauty
181,bequest lend gives nature doth
182,frank lends free those being
183,niggard beauteous abuse dost why
184,largess bounteous given give thee
185,profitless usurer dost use why
186,sums sum canst live
187,traffic having self alone
188,deceive self dost sweet
189,calls nature gone thee
190,acceptable audit canst leave
191,tombed unused beauty thee
192,executor lives used th
193,5
194,frame hours work gentle those
195,gaze dwell lovely eye doth
196,tyrants same play
197,unfair excel fairly doth
198,resting leads summer
199,confounds hideous winter
200,checked frost sap lusty leaves quite gone
201,snowed bareness beauty er
202,distillation summer left
203,liquid pent glass prisoner walls
204,bereft effect beauty
205,remembrance nor
206,distilled flowers winter meet though
207,leese substance lives show still sweet
208,6
209,deface ragged winter hand
210,distilled summer ere thee
211,vial treasure place sweet
212,killed treasure self beauty ere
213,usury forbidden use
214,happies loan willing pay those
215,breed self another thee
216,happier ten times
217,happier ten times self art
218,refigured ten times thine thee
219,depart shouldst death
220,posterity leaving living thee
221,willed self fair art
222,worms conquest heir thine death
223,7
224,orient lo gracious light
225,lifts burning each under eye head
226,appearing homage sight new doth
227,serving sacred looks majesty
228,climbed steep hill heavenly having
229,resembling middle strong age youth
230,adore mortal looks beauty still
231,pilgrimage attending golden
232,highmost pitch car weary
233,reeleth feeble age
234,converted duteous fore eyes
235,tract low another look
236,noon going self
237,unlooked diest unless son
238,8
239,sadly music hear st why
240,sweets delights joy war
241,gladly receiv lov st why
242,annoy receiv pleasure else thine st
243,tuned concord sounds true
244,unions offend married ear thine
245,confounds sweetly chide thee
246,singleness shouldst parts bear
247,string mark husband another sweet
248,ordering mutual strikes each
249,resembling sire happy child mother
250,pleasing sing note
251,speechless seeming song many whose being
252,single sings prove wilt none thee
253,9
254,wet widow eye fear
255,consum single self life st
256,issueless hap ah shalt die
257,makeless wail wife world thee
258,widow weep still world
259,behind form left hast thee
260,private widow keep
261,shape children husband mind eyes
262,unthrift spend world look doth
263,enjoys shifts place still world
264,waste beauty end world hath
265,destroys unused user kept
266,sits toward bosom others love
267,commits murd rous shame himself
268,10
269,deny shame bear st love
270,unprovident self art
271,beloved grant wilt many art
272,evident lov none st
273,possessed murd rous hate art
274,conspire stick gainst self st
275,ruinate roof seeking beauteous
276,repair chief desire
277,change mind thought
278,lodged fairer hate gentle love
279,presence gracious kind
280,hearted least self prove kind
281,self another love thee
282,beauty thine live still thee
283,11
284,wane grow fast shalt st
285,departest thine
286,youngly bestow fresh blood st
287,convertest mayst youth thine call
288,herein increase wisdom lives beauty
289,decay folly cold age without
290,minded cease times
291,threescore year world
292,store nature whom those hath
293,featureless barrenly harsh perish rude
294,endowed gave whom best look thee
295,bounteous cherish bounty gift shouldst
296,carved thereby meant seal thee
297,print copy shouldst die
298,12
299,tells clock count
300,sunk hideous brave night
301,violet prime past behold
302,silvered curls sable white er
303,lofty trees barren leaves
304,erst canopy herd heat
305,sheaves girded summer green
306,bristly bier borne beard white
307,question beauty
308,wastes among
309,beauties sweets forsake themselves since
310,grow fast others die
311,scythe defence gainst
312,breed takes brave save hence thee
313,13
314,self love
315,longer self yours live
316,prepare coming end against
317,semblance sweet give
318,lease beauty hold
319,determination find
320,decease self
321,issue form bear sweet
322,lets decay fall house fair
323,uphold husbandry might honour
324,stormy gusts winter against
325,eternal barren rage cold death
326,unthrifts dear none love
327,son father
328,14
329,judgement stars pluck
330,astronomy methinks
331,luck evil tell
332,dearths seasons plagues quality
333,minutes brief fortune nor tell
334,pointing rain thunder wind each
335,princes
336,predict oft find heaven
337,derive knowledge thine eyes
338,constant stars read art
339,thrive beauty together truth
340,convert store wouldst self
341,prognosticate else thee
342,date doom beauty truth end
343,15
344,consider grows
345,perfection moment holds
346,presenteth huge stage nought shows
347,influence comment whereon secret stars
348,plants increase perceive men
349,cheered checked sky self same even
350,decrease vaunt sap youthful height
351,memory brave wear state
352,inconstant conceit stay
353,sets rich sight youth
354,debateth wasteful decay
355,sullied change youth night
356,war love
357,engraft takes new
358,16
359,mightier wherefore
360,tyrant bloody war
361,fortify decay self
362,rhyme barren blessed means
363,top hours happy stand
364,unset gardens maiden many
365,flowers virtuous living wish bear
366,liker painted counterfeit
367,lines repair life
368,pencil pupil pen
369,inward outward neither worth fair nor
370,self live eyes men
371,keeps self still give
372,skill drawn live sweet
373,17
374,verse believe
375,filled deserts high
376,tomb knows though heaven
377,hides shows parts half life
378,write beauty eyes
379,numbers graces number fresh
380,poet age lies
381,touched touches earthly faces heavenly ne er
382,yellowed papers age
383,scorned less truth tongue men
384,termed rights poet rage true
385,stretched metre antique song
386,alive child yours
387,rhyme twice live
388,18
389,compare summer thee
390,temperate lovely art
391,darling buds winds rough shake
392,lease date summer short hath
393,shines sometime hot eye heaven
394,dimmed complexion often gold
395,declines sometime fair
396,untrimmed changing chance course nature
397,fade eternal summer
398,ow possession lose fair nor st
399,brag wand shade rest death nor
400,lines eternal grow st
401,breathe eyes men
402,gives lives life thee
403,19
404,paws devouring blunt lion
405,brood devour earth sweet
406,jaws tiger keen fierce teeth pluck
407,phoenix lived burn blood
408,seasons fleet sorry glad st
409,footed whate swift wilt er
410,fading sweets wide world
411,crime heinous forbid thee
412,carve brow hours fair love
413,antique lines pen draw thine nor
414,untainted allow course
415,succeeding pattern beauty men
416,despite worst wrong
417,verse young live love
418,20
419,painted nature woman face hand
420,passion mistress hast master
421,acquainted gentle woman heart
422,shifting fashion change women false
423,rolling theirs bright less false eye
424,gazeth gilding whereupon object
425,hues controlling hue
426,amazeth steals souls women eyes men
427,created wert woman
428,doting wrought fell nature till thee
429,defeated addition thee
430,adding purpose
431,pricked pleasure women since thee
432,treasure use mine love
433,21
434,muse
435,stirred verse painted beauty
436,ornament self use heaven doth
437,rehearse fair doth
438,couplement compare making proud
439,gems moon rich sun sea earth
440,april flowers rare born things
441,rondure hems huge air heaven
442,write truly true love
443,believe fair love
444,bright child mother though
445,candles fixed air gold those heaven
446,hearsay
447,sell praise purpose
448,22
449,persuade glass
450,date youth
451,furrows behold thee
452,expiate days death look
453,cover beauty doth thee
454,seemly raiment heart
455,breast thine live doth
456,elder art
457,wary thyself therefore love
458,self thee
459,chary bearing keep heart
460,faring babe tender nurse ill
461,presume slain heart mine
462,gav back thine st give
463,23
464,unperfect actor stage
465,beside put part fear
466,replete fierce rage
467,weakens abundance strength whose heart
468,forget trust fear
469,rite ceremony perfect love
470,decay strength seem mine love
471,ercharged burthen might mine love
472,eloquence looks
473,presagers dumb speaking breast
474,recompense plead look love
475,expressed tongue hath
476,silent writ learn read hath love
477,belongs fine wit eyes hear love
478,24
479,stelled played painter eye mine hath
480,table form beauty heart
481,frame held wherein body tis
482,perspective painter best art
483,painter skill through
484,pictured image lies find true
485,shop hanging bosom still
486,glazed windows thine eyes hath
487,turns done eyes
488,shape drawn thine eyes mine
489,windows breast sun through
490,peep delights gaze therein thee
491,cunning want grace eyes art
492,draw heart
493,25
494,stars favour those
495,titles boast public proud honour
496,bars triumph whilst fortune whom
497,unlooked joy honour
498,favourites spread leaves princes fair
499,marigold sun eye
500,buried pride themselves lies
501,frown glory die
502,famoused painful warrior fight
503,foiled victories thousand once
504,razed quite book honour
505,toiled forgot rest
506,beloved happy love
507,removed remove nor
508,26
509,vassalage whom love lord
510,strongly knit merit duty hath
511,embassage written send thee
512,witness duty wit show
513,duty wit poor mine
514,wanting bare seem words show
515,conceit hope thine
516,naked bestow thought soul
517,guides whatsoever moving star till
518,graciously aspect points fair
519,tattered apparel puts loving
520,respect worthy show sweet
521,boast dare love thee
522,mayst prove show head till
523,27
524,toil weary haste bed
525,respose tired travel limbs dear
526,journey begins head
527,expired work body mind
528,abide thoughts far
529,zealous pilgrimage intend thee
530,drooping eyelids wide open keep
531,darkness looking blind
532,imaginary sight save soul
533,sightless presents shadow view
534,ghastly hung jewel night
535,beauteous black new makes face night
536,limbs lo mind thus night
537,quiet self find thee
538,28
539,plight happy return
540,debarred benefit rest
541,eased oppression night
542,oppressed night
543,reign enemies either each though
544,torture consent shake hands
545,complain toil
546,toil farther far off still thee
547,bright please art tell
548,blot clouds dost grace heaven
549,complexioned swart flatter night
550,twire sparkling gild stars even st
551,daily sorrows longer draw doth
552,nightly stronger length seem grief night doth
553,29
554,disgrace fortune eyes men
555,outcast beweep alone state
556,bootless deaf cries trouble heaven
557,fate curse self look
558,wishing rich hope
559,featured possessed friends
560,desiring scope art
561,contented enjoy least
562,despising almost self thoughts
563,haply state thee
564,arising lark break
565,hymns sullen gate sings earth heaven
566,remembered brings wealth sweet love
567,scorn kings change state
568,30
569,sessions silent thought sweet
570,summon remembrance past things
571,sought sigh lack many
572,wail woes waste new dear
573,unused flow drown eye
574,dateless hid precious friends night death
575,cancelled afresh woe weep since love
576,vanished expense moan sight many th
577,foregone grievances grieve
578,heavily woe er tell
579,bemoaned moan fore account sad
580,paid pay new
581,while friend dear thee
582,restored losses sorrows end
583,31
584,endeared bosom hearts
585,lacking supposed dead
586,reigns parts loving love
587,buried thought friends those
588,obsequious tear holy many
589,religious stol n eye dear mine hath love
590,interest appear dead
591,hidden removed lie things thee
592,buried grave live art doth love
593,trophies hung lovers gone
594,parts give thee
595,due alone thine many
596,images loved view thee
597,hast
598,32
599,survive contented
600,churl cover dust bones death
601,survey shalt re fortune once
602,deceased lines lover rude poor
603,bett compare ring
604,outstripped pen though
605,reserve rhyme love
606,exceeded happier height men
607,vouchsafe loving thought
608,muse growing grown age friend
609,dearer birth brought love
610,equipage ranks march better
611,poets died prove since better
612,style theirs read love
613,33
614,glorious morning seen full many
615,tops mountain flatter sovereign eye
616,meadows kissing golden green face
617,gilding alchemy streams heavenly pale
618,basest permit ride clouds anon
619,celestial rack ugly face
620,forlorn visage hide world
621,stealing unseen west disgrace
622,morn shine early sun even
623,splendour triumphant brow
624,alack hour mine
625,masked region cloud hath
626,disdaineth whit love
627,staineth suns stain sun heaven world
628,34
629,beauteous promise didst why
630,cloak travel without forth
631,ertake clouds base
632,brav hiding smoke rotten ry
633,cloud break through enough tis
634,beaten storm rain dry face
635,salve speak
636,heals cures disgrace wound
637,physic grief shame nor give
638,repent loss still though
639,lends relief offender weak sorrow th
640,offence cross bears strong
641,sheds pearl ah tears those love
642,ransom deeds rich ill
643,35
644,grieved hast done
645,fountains mud thorns roses silver
646,eclipses clouds stain moon sun both
647,bud loathsome canker sweetest lives
648,faults even men
649,authorizing trespass compare
650,salving corrupting amiss self
651,excusing sins
652,sensual sense fault bring
653,advocate adverse party
654,commence plea lawful gainst self
655,civil hate war love
656,accessary needs
657,sourly robs thief sweet
658,36
659,twain confess
660,undivided although loves
661,blots remain those
662,borne alone help without
663,respect loves
664,separable spite lives though
665,sole alter effect though love
666,delight steal hours sweet doth love
667,acknowledge evermore thee
668,bewailed guilt lest shame thee
669,kindness public honour nor
670,unless honour name
671,sort love thee
672,report being mine
673,37
674,decrepit delight takes father
675,active deeds child youth
676,lame dearest spite fortune
677,comfort worth truth
678,wealth birth whether beauty wit
679,entitled crowned parts sit
680,engrafted store love
681,despised lame poor nor
682,substance shadow whilst doth give
683,sufficed abundance
684,glory part live
685,wish best look thee
686,ten happy times wish
687,38
688,invent muse subject want
689,verse pour breathe while dost st
690,argument excellent thine sweet
691,rehearse vulgar paper
692,aught thanks self give
693,perusal sight worthy stand against
694,dumb write cannot thee
695,invention self light dost give
696,tenth muse ten worth times
697,rhymers invocate nine those
698,calls forth bring thee
699,outlive date eternal numbers
700,curious muse slight days please
701,pain praise thine mine
702,39
703,manners sing worth
704,part better art
705,praise self bring mine
706,praise mine thee
707,divided live even
708,single lose dear name love
709,separation give
710,deserv due alone st thee
711,torment absence wouldst prove
712,sour leisure gave leave sweet
713,entertain thoughts love
714,sweetly deceive thoughts doth
715,teachest twain
716,praising remain hence doth
717,40
718,yea loves love
719,hadst hast
720,mayst call true love
721,hadst thine mine
722,receivest love
723,usest blame cannot love thee
724,deceivest blamed self
725,refusest wilful taste self
726,robbery thief forgive gentle
727,poverty although steal thee
728,greater knows grief love
729,injury greater hate known wrong bear
730,lascivious shows ill whom grace
731,spites foes kill
732,41
733,commits liberty wrongs pretty those
734,absent sometime heart
735,befits years beauty full
736,temptation follows still art
737,won gentle therefore art
738,assailed beauteous therefore art
739,woos woman son
740,prevailed sourly till leave
741,mightst forbear seat ay
742,straying chide beauty youth
743,riot lead even thee
744,twofold forced break truth art
745,tempting hers beauty thee
746,beauty false thine being
747,42
748,grief hast
749,dearly loved
750,wailing chief hath thee
751,nearly touches loss love
752,offenders excuse loving ye thus
753,because dost st love
754,abuse sake even doth
755,suff approve sake ring friend
756,gain loss lose love thee
757,losing loss found friend hath
758,twain lose each find both
759,cross sake lay both
760,joy friend
761,flattery loves alone sweet
762,43
763,wink best eyes mine
764,unrespected view things
765,dreams sleep look thee
766,darkly directed bright dark
767,shadows bright shadow whose doth
768,shadow form happy show
769,clearer clear light
770,unseeing shade shines eyes
771,blessed eyes mine
772,looking living thee
773,imperfect shade dead fair night
774,sightless heavy sleep through stay eyes doth
775,nights days till thee
776,nights dreams bright days show thee
777,44
778,substance dull flesh thought
779,injurious distance stop
780,space despite brought
781,remote limits far dost stay
782,although foot matter stand
783,farthest removed earth thee
784,jump nimble land sea thought both
785,soon place
786,kills ah thought
787,lengths miles leap large gone art
788,wrought water earth
789,moan leisure attend
790,receiving elements slow nought
791,badges woe heavy either tears
792,45
793,purging slight air fire
794,wherever abide both thee
795,desire thought
796,slide absent swift motion present
797,quicker elements gone
798,embassy tender love thee
799,four alone being life
800,sinks oppressed melancholy death
801,recured composition until life
802,returned messengers swift those thee
803,assured back even
804,recounting health fair
805,longer glad joy told
806,grow straight sad send back
807,46
808,mortal war eye heart mine
809,divide conquest sight
810,bar picture sight eye heart mine
811,freedom right eye heart mine
812,plead lie dost doth heart
813,pierced crystal closet eyes
814,defendant plea deny doth
815,appearance says lies fair
816,impanelled title side
817,tenants quest thoughts heart
818,determined verdict
819,moiety clear eye dear part heart
820,outward due eye part thus mine
821,inward right heart love
822,47
823,league betwixt took eye heart mine
824,turns each unto doth
825,famished eye look mine
826,smother sighs himself doth heart love
827,picture feast eye doth love
828,banquet painted bids heart
829,guest eye another heart mine
830,share thoughts part doth love
831,picture either love
832,self present still art
833,farther move canst thoughts
834,still thee
835,picture sight sleep
836,awakes delight eye heart
837,48
838,careful took
839,truest bars trifle thrust each under
840,unused stay might use
841,wards falsehood trust sure hands
842,trifles jewels whom
843,greatest comfort grief worthy
844,dearest care best mine
845,vulgar prey thief left art
846,locked chest thee
847,feel save though art
848,closure breast gentle within
849,mayst whence pleasure part
850,stol thence n wilt even fear
851,thievish proves prize truth dear
852,49
853,against
854,defects frown thee
855,utmost sum cast hath love
856,audit advised respects called
857,strangely pass shalt against
858,scarcely greet sun eye thine
859,converted love
860,gravity settled reasons find
861,ensconce against
862,desert knowledge within mine
863,uprear self against hand
864,lawful reasons guard part
865,laws strength hast poor leave
866,allege cause since why love
867,50
868,journey heavy
869,travel weary seek end
870,repose teach case doth
871,measured miles far friend thus
872,tired beast bears woe
873,plods dully weight bear
874,instinct wretch
875,rider loved speed being thee
876,provoke spur bloody cannot
877,thrusts anger sometimes hide
878,heavily answers groan
879,spurring sharp side
880,groan same mind put doth
881,onward behind joy grief lies
882,51
883,slow excuse offence thus love
884,bearer dull speed thee
885,thence haste art why
886,posting need return till
887,beast excuse find poor
888,extremity slow swift seem
889,mounted spur wind though
890,winged motion speed
891,pace desire horse keep
892,perfect desire therefore being st love
893,neigh race fiery dull flesh
894,jade excuse thus love
895,wilful slow went going since thee
896,towards run leave give thee
897,52
898,key blessed rich whose
899,locked treasure bring sweet
900,survey hour
901,blunting seldom fine point pleasure
902,feasts solemn rare therefore
903,seldom year coming since set
904,thinly placed stones worth
905,carcanet jewels captain
906,chest keeps
907,wardrobe robe hide doth
908,special blest instant
909,unfolding imprisoned pride new
910,worthiness scope blessed gives whose
911,lacked triumph hope being
912,53
913,substance whereof
914,millions shadows tend strange
915,shade since hath
916,shadow lend
917,describe adonis counterfeit
918,imitated poorly
919,cheek helen beauty set art
920,tires grecian painted new
921,foison spring year speak
922,shadow beauty show doth
923,bounty appear doth
924,blessed shape
925,external part grace
926,constant none heart
927,54
928,beauteous seem beauty doth
929,ornament truth sweet doth give
930,deem fairer rose looks fair
931,odour live sweet doth
932,blooms dye canker deep full
933,tincture perfumed roses
934,wantonly thorns hang play
935,discloses masked buds summer breath
936,virtue show
937,unwooed unrespected fade live
938,roses themselves die sweet
939,odours deaths sweetest sweet
940,beauteous lovely youth
941,distills fade verse truth
942,55
943,monuments marble gilded nor
944,powerful outlive rhyme princes
945,contents shine bright
946,besmeared unswept sluttish stone
947,overturn statues wasteful war
948,masonry broils root work
949,mars burn quick fire war sword nor
950,record memory living
951,oblivious enmity gainst death
952,pace room praise forth find still
953,posterity even eyes
954,ending doom wear world
955,arise judgment self till
956,dwell lovers live eyes
957,56
958,renew force sweet love
959,blunter appetite edge
960,allayed feeding
961,sharpened former morrow might
962,although fill love
963,fulness hungry wink even till eyes
964,kill morrow
965,dulness perpetual spirit love
966,interim ocean sad
967,contracted shore parts new
968,banks daily
969,blest view return love
970,winter care full being call
971,wished rare thrice summer makes welcome
972,57
973,tend slave being
974,hours times desire
975,spend precious
976,require services till nor
977,chide dare hour end without world nor
978,clock whilst sovereign watch
979,bitterness sour absence nor
980,adieu bid once servant
981,jealous question dare thought nor
982,suppose affairs
983,nought slave sad stay
984,happy save those
985,fool true love
986,thinks ill though
987,58
988,forbid slave god
989,control pleasure times thought
990,crave account hours hand th
991,vassal leisure bound stay being
992,beck suffer being
993,imprisoned absence liberty th
994,bide sufferance check tame patience each
995,accusing injury without
996,charter list strong
997,privilage self
998,belong doth
999,crime doing self pardon
1000,waiting wait hell though
1001,blame pleasure ill
1002,59
1003,new
1004,beguiled brains hath
1005,amis labouring invention bear
1006,burthen former child second
1007,backward record look
1008,courses hundred five sun even
1009,antique image book show
1010,character mind since done
1011,might world
1012,composed frame wonder
1013,mended whether better
1014,revolution whether same
1015,former wits days sure
1016,admiring subjects worse praise given
1017,60
1018,pebbled waves shore towards
1019,hasten minutes end
1020,changing goes each place
1021,forwards sequent contend toil
1022,nativity main light once
1023,crawls maturity wherewith crowned being
1024,eclipses crooked glory gainst fight
1025,confound gift gave doth
1026,transfix flourish youth set doth
1027,delves parallels brow beauty
1028,rarities feeds truth nature
1029,scythe mow stands
1030,verse times hope stand
1031,praising despite cruel worth hand
